◎Turn 20
 1 :         미티어 더스트 - targetSpeed(m/s) : 19.71 / defaultTarget(m/s) : 19.71 / spurtTarget(m/s) : 21.93 / currPosition : <12.50, 0.50> / Stamina : 99.61% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 21.85 / defaultTarget(m/s) : 19.93 / spurtTarget(m/s) : 21.50 / currPosition : <33.35, 8.90> / Stamina : 98.45% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :          래피드 스텝 - targetSpeed(m/s) : 21.81 / defaultTarget(m/s) : 19.85 / spurtTarget(m/s) : 21.54 / currPosition : <32.59, 7.90> / Stamina : 98.59% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         데네브 네오스 - targetSpeed(m/s) : 19.83 / defaultTarget(m/s) : 19.83 / spurtTarget(m/s) : 22.09 / currPosition : <32.34, 5.95> / Stamina : 98.68% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :           온 세마치 - targetSpeed(m/s) : 19.78 / defaultTarget(m/s) : 19.78 / spurtTarget(m/s) : 22.13 / currPosition : <32.23, 4.00> / Stamina : 98.69% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :         블랙 팁 마블 - targetSpeed(m/s) : 20.22 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 22.10 / currPosition : <31.27, 1.65> / Stamina : 98.72% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 9 :        홀리데이 미라클 - targetSpeed(m/s) : 20.65 / defaultTarget(m/s) : 19.14 / spurtTarget(m/s) : 20.63 / currPosition : <31.01, 11.35> / Stamina : 98.84% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :          시나몬 룰렛 - targetSpeed(m/s) : 21.12 / defaultTarget(m/s) : 20.31 / spurtTarget(m/s) : 21.90 / currPosition : <30.77, 7.00> / Stamina : 99.20% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
11 :         트윈 페르소나 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 21.98 / currPosition : <30.58, 2.10> / Stamina : 98.72% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 20.22 / defaultTarget(m/s) : 19.03 / spurtTarget(m/s) : 20.68 / currPosition : <29.18, 10.55> / Stamina : 98.91% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 60
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.21 / defaultTarget(m/s) : 20.39 / spurtTarget(m/s) : 21.89 / currPosition : <54.72, 8.00> / Stamina : 98.37% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.95 / defaultTarget(m/s) : 19.95 / spurtTarget(m/s) : 21.50 / currPosition : <53.80, 8.05> / Stamina : 97.42% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 3 :         굿나잇 스이밍 - targetSpeed(m/s) : 19.79 / defaultTarget(m/s) : 19.79 / spurtTarget(m/s) : 22.08 / currPosition : <53.71, 3.55> / Stamina : 97.49% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :         미티어 더스트 - targetSpeed(m/s) : 19.73 / defaultTarget(m/s) : 19.73 / spurtTarget(m/s) : 21.93 / currPosition : <53.46, 0.50> / Stamina : 97.62% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :          래피드 스텝 - targetSpeed(m/s) : 21.94 / defaultTarget(m/s) : 19.88 / spurtTarget(m/s) : 21.54 / currPosition : <52.87, 6.90> / Stamina : 97.58% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         데네브 네오스 - targetSpeed(m/s) : 19.83 / defaultTarget(m/s) : 19.83 / spurtTarget(m/s) : 22.09 / currPosition : <52.09, 5.95> / Stamina : 97.79% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :           온 세마치 - targetSpeed(m/s) : 19.67 / defaultTarget(m/s) : 19.67 / spurtTarget(m/s) : 22.13 / currPosition : <51.92, 4.00> / Stamina : 97.81% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :          시나몬 룰렛 - targetSpeed(m/s) : 21.09 / defaultTarget(m/s) : 20.28 / spurtTarget(m/s) : 21.90 / currPosition : <51.38, 7.00> / Stamina : 98.56% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 9 :         블랙 팁 마블 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 22.10 / currPosition : <51.08, 0.95> / Stamina : 97.81% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 20.91 / defaultTarget(m/s) : 19.65 / spurtTarget(m/s) : 21.98 / currPosition : <50.25, 1.85> / Stamina : 97.83% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
11 :        홀리데이 미라클 - targetSpeed(m/s) : 19.66 / defaultTarget(m/s) : 19.06 / spurtTarget(m/s) : 20.63 / currPosition : <50.08, 10.85> / Stamina : 98.03% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 20.10 / defaultTarget(m/s) : 19.14 / spurtTarget(m/s) : 20.68 / currPosition : <48.30, 9.55> / Stamina : 98.09% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 80
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.17 / defaultTarget(m/s) : 20.35 / spurtTarget(m/s) : 21.89 / currPosition : <75.78, 8.00> / Stamina : 97.69% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.84 / defaultTarget(m/s) : 19.84 / spurtTarget(m/s) : 21.50 / currPosition : <73.69, 8.05> / Stamina : 96.48% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 3 :         굿나잇 스이밍 - targetSpeed(m/s) : 19.77 / defaultTarget(m/s) : 19.77 / spurtTarget(m/s) : 22.08 / currPosition : <73.45, 3.55> / Stamina : 96.59% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 20.30 / defaultTarget(m/s) : 19.91 / spurtTarget(m/s) : 21.54 / currPosition : <73.09, 5.90> / Stamina : 96.58% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :         미티어 더스트 - targetSpeed(m/s) : 19.69 / defaultTarget(m/s) : 19.69 / spurtTarget(m/s) : 21.93 / currPosition : <73.08, 0.50> / Stamina : 96.76% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 6 :          시나몬 룰렛 - targetSpeed(m/s) : 21.16 / defaultTarget(m/s) : 20.34 / spurtTarget(m/s) : 21.90 / currPosition : <72.09, 7.00> / Stamina : 97.92% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 19.79 / defaultTarget(m/s) : 19.79 / spurtTarget(m/s) : 22.09 / currPosition : <71.83, 5.95> / Stamina : 96.91% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :           온 세마치 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 22.13 / currPosition : <71.59, 4.00> / Stamina : 96.93% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :         블랙 팁 마블 - targetSpeed(m/s) : 20.27 / defaultTarget(m/s) : 19.72 / spurtTarget(m/s) : 22.10 / currPosition : <70.77, 0.50> / Stamina : 96.92% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 20.37 / defaultTarget(m/s) : 19.74 / spurtTarget(m/s) : 21.98 / currPosition : <70.04, 0.85> / Stamina : 96.92% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
11 :        홀리데이 미라클 - targetSpeed(m/s) : 20.18 / defaultTarget(m/s) : 19.08 / spurtTarget(m/s) : 20.63 / currPosition : <69.17, 9.85> / Stamina : 97.21% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 20.84 / defaultTarget(m/s) : 19.03 / spurtTarget(m/s) : 20.68 / currPosition : <67.52, 8.55> / Stamina : 97.25% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 100
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.14 / defaultTarget(m/s) : 20.33 / spurtTarget(m/s) : 21.89 / currPosition : <96.85, 8.00> / Stamina : 97.01% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.88 / defaultTarget(m/s) : 19.88 / spurtTarget(m/s) : 21.50 / currPosition : <93.52, 8.05> / Stamina : 95.54% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 3 :          래피드 스텝 - targetSpeed(m/s) : 21.43 / defaultTarget(m/s) : 19.89 / spurtTarget(m/s) : 21.54 / currPosition : <93.29, 4.90> / Stamina : 95.59% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 4 :         굿나잇 스이밍 - targetSpeed(m/s) : 21.37 / defaultTarget(m/s) : 19.85 / spurtTarget(m/s) : 22.08 / currPosition : <93.24, 3.05> / Stamina : 95.41% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :          시나몬 룰렛 - targetSpeed(m/s) : 21.15 / defaultTarget(m/s) : 20.34 / spurtTarget(m/s) : 21.90 / currPosition : <92.89, 7.00> / Stamina : 97.27% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 6 :         미티어 더스트 - targetSpeed(m/s) : 19.73 / defaultTarget(m/s) : 19.73 / spurtTarget(m/s) : 21.93 / currPosition : <92.71, 0.50> / Stamina : 95.90% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 20.14 / defaultTarget(m/s) : 19.83 / spurtTarget(m/s) : 22.09 / currPosition : <91.55, 5.80> / Stamina : 96.02% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :           온 세마치 - targetSpeed(m/s) : 20.58 / defaultTarget(m/s) : 19.78 / spurtTarget(m/s) : 22.13 / currPosition : <91.29, 4.00> / Stamina : 95.83% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 9 :         블랙 팁 마블 - targetSpeed(m/s) : 20.71 / defaultTarget(m/s) : 19.72 / spurtTarget(m/s) : 22.10 / currPosition : <90.67, 0.45> / Stamina : 96.34% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 20.71 / defaultTarget(m/s) : 19.72 / spurtTarget(m/s) : 21.98 / currPosition : <90.07, 0.45> / Stamina : 96.20% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
11 :        홀리데이 미라클 - targetSpeed(m/s) : 20.03 / defaultTarget(m/s) : 19.13 / spurtTarget(m/s) : 20.63 / currPosition : <88.36, 8.85> / Stamina : 96.38% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 19.55 / defaultTarget(m/s) : 19.04 / spurtTarget(m/s) : 20.68 / currPosition : <86.82, 7.55> / Stamina : 96.40% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 120
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.14 / defaultTarget(m/s) : 20.33 / spurtTarget(m/s) : 21.89 / currPosition : <117.92, 8.00> / Stamina : 96.33% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :          시나몬 룰렛 - targetSpeed(m/s) : 21.10 / defaultTarget(m/s) : 20.29 / spurtTarget(m/s) : 21.90 / currPosition : <113.78, 7.00> / Stamina : 96.61% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          래피드 스텝 - targetSpeed(m/s) : 19.82 / defaultTarget(m/s) : 19.82 / spurtTarget(m/s) : 21.54 / currPosition : <113.42, 4.30> / Stamina : 94.60% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 20.70 / defaultTarget(m/s) : 19.92 / spurtTarget(m/s) : 21.50 / currPosition : <113.35, 7.65> / Stamina : 94.61% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :         굿나잇 스이밍 - targetSpeed(m/s) : 21.90 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 22.08 / currPosition : <113.07, 2.30> / Stamina : 93.94% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         미티어 더스트 - targetSpeed(m/s) : 19.69 / defaultTarget(m/s) : 19.69 / spurtTarget(m/s) : 21.93 / currPosition : <112.36, 0.50> / Stamina : 95.04% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 21.06 / defaultTarget(m/s) : 19.73 / spurtTarget(m/s) : 22.09 / currPosition : <111.43, 4.80> / Stamina : 95.10% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :           온 세마치 - targetSpeed(m/s) : 20.46 / defaultTarget(m/s) : 19.67 / spurtTarget(m/s) : 22.13 / currPosition : <111.20, 4.00> / Stamina : 94.36% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 9 :         블랙 팁 마블 - targetSpeed(m/s) : 20.67 / defaultTarget(m/s) : 19.68 / spurtTarget(m/s) : 22.10 / currPosition : <110.81, 0.45> / Stamina : 95.77% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 20.67 / defaultTarget(m/s) : 19.68 / spurtTarget(m/s) : 21.98 / currPosition : <110.34, 0.45> / Stamina : 95.62% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
11 :        홀리데이 미라클 - targetSpeed(m/s) : 19.41 / defaultTarget(m/s) : 19.06 / spurtTarget(m/s) : 20.63 / currPosition : <107.63, 7.85> / Stamina : 95.53% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 19.34 / defaultTarget(m/s) : 19.14 / spurtTarget(m/s) : 20.68 / currPosition : <106.15, 6.55> / Stamina : 95.55% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 140
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.18 / defaultTarget(m/s) : 20.37 / spurtTarget(m/s) : 21.89 / currPosition : <138.99, 8.00> / Stamina : 95.65% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :          시나몬 룰렛 - targetSpeed(m/s) : 21.16 / defaultTarget(m/s) : 20.35 / spurtTarget(m/s) : 21.90 / currPosition : <134.75, 7.00> / Stamina : 95.93% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          래피드 스텝 - targetSpeed(m/s) : 19.84 / defaultTarget(m/s) : 19.84 / spurtTarget(m/s) : 21.54 / currPosition : <133.26, 4.30> / Stamina : 93.67% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 20.67 / defaultTarget(m/s) : 19.95 / spurtTarget(m/s) : 21.50 / currPosition : <133.25, 6.65> / Stamina : 93.66% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :         굿나잇 스이밍 - targetSpeed(m/s) : 20.33 / defaultTarget(m/s) : 19.84 / spurtTarget(m/s) : 22.08 / currPosition : <133.01, 1.30> / Stamina : 92.45% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         미티어 더스트 - targetSpeed(m/s) : 19.68 / defaultTarget(m/s) : 19.68 / spurtTarget(m/s) : 21.93 / currPosition : <132.00, 0.50> / Stamina : 94.18% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 21.94 / defaultTarget(m/s) : 19.79 / spurtTarget(m/s) : 22.09 / currPosition : <131.57, 3.80> / Stamina : 94.15% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :           온 세마치 - targetSpeed(m/s) : 20.57 / defaultTarget(m/s) : 19.78 / spurtTarget(m/s) : 22.13 / currPosition : <131.36, 4.00> / Stamina : 92.83% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 9 :         블랙 팁 마블 - targetSpeed(m/s) : 20.78 / defaultTarget(m/s) : 19.79 / spurtTarget(m/s) : 22.10 / currPosition : <131.19, 0.45> / Stamina : 95.17% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 20.67 / defaultTarget(m/s) : 19.69 / spurtTarget(m/s) : 21.98 / currPosition : <130.83, 0.45> / Stamina : 95.01% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
11 :        홀리데이 미라클 - targetSpeed(m/s) : 20.79 / defaultTarget(m/s) : 19.15 / spurtTarget(m/s) : 20.63 / currPosition : <126.99, 6.85> / Stamina : 94.67% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 20.74 / defaultTarget(m/s) : 19.12 / spurtTarget(m/s) : 20.68 / currPosition : <125.50, 5.55> / Stamina : 94.69% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 160
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.09 / defaultTarget(m/s) : 20.28 / spurtTarget(m/s) : 21.89 / currPosition : <160.05, 8.00> / Stamina : 94.97% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :          시나몬 룰렛 - targetSpeed(m/s) : 21.19 / defaultTarget(m/s) : 20.37 / spurtTarget(m/s) : 21.90 / currPosition : <155.82, 7.00> / Stamina : 95.25% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.92 / defaultTarget(m/s) : 19.92 / spurtTarget(m/s) : 21.50 / currPosition : <153.11, 6.55> / Stamina : 92.73% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 20.94 / defaultTarget(m/s) : 19.95 / spurtTarget(m/s) : 21.54 / currPosition : <153.08, 3.40> / Stamina : 92.74% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 5 :         굿나잇 스이밍 - targetSpeed(m/s) : 19.83 / defaultTarget(m/s) : 19.83 / spurtTarget(m/s) : 22.08 / currPosition : <152.99, 0.80> / Stamina : 91.22% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 6 :         데네브 네오스 - targetSpeed(m/s) : 20.91 / defaultTarget(m/s) : 19.84 / spurtTarget(m/s) : 22.09 / currPosition : <151.83, 2.80> / Stamina : 93.18% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 7 :         블랙 팁 마블 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 19.75 / spurtTarget(m/s) : 22.10 / currPosition : <151.79, 0.45> / Stamina : 94.48% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :           온 세마치 - targetSpeed(m/s) : 20.56 / defaultTarget(m/s) : 19.77 / spurtTarget(m/s) : 22.13 / currPosition : <151.75, 4.00> / Stamina : 91.24% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 9 :         미티어 더스트 - targetSpeed(m/s) : 20.71 / defaultTarget(m/s) : 19.72 / spurtTarget(m/s) : 21.93 / currPosition : <151.63, 0.50> / Stamina : 93.37% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
10 :         트윈 페르소나 - targetSpeed(m/s) : 20.66 / defaultTarget(m/s) : 19.67 / spurtTarget(m/s) : 21.98 / currPosition : <151.45, 0.45> / Stamina : 94.39% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
11 :        홀리데이 미라클 - targetSpeed(m/s) : 19.89 / defaultTarget(m/s) : 19.13 / spurtTarget(m/s) : 20.63 / currPosition : <146.36, 5.85> / Stamina : 93.81% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
12 :         위키드 웨스트 - targetSpeed(m/s) : 20.46 / defaultTarget(m/s) : 19.13 / spurtTarget(m/s) : 20.68 / currPosition : <144.94, 4.55> / Stamina : 93.82% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 180
 1 :         리코리스 블랙 - targetSpeed(m/s) : 21.16 / defaultTarget(m/s) : 20.34 / spurtTarget(m/s) : 21.89 / currPosition : <181.13, 8.00> / Stamina : 94.29% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :          시나몬 룰렛 - targetSpeed(m/s) : 21.11 / defaultTarget(m/s) : 20.30 / spurtTarget(m/s) : 21.90 / currPosition : <176.89, 7.00> / Stamina : 94.57% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.83 / defaultTarget(m/s) : 19.83 / spurtTarget(m/s) : 21.50 / currPosition : <172.93, 6.20> / Stamina : 91.79% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 20.68 / defaultTarget(m/s) : 19.89 / spurtTarget(m/s) : 21.54 / currPosition : <172.93, 2.90> / Stamina : 91.63% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 5 :         굿나잇 스이밍 - targetSpeed(m/s) : 19.81 / defaultTarget(m/s) : 19.81 / spurtTarget(m/s) : 22.08 / currPosition : <172.73, 0.80> / Stamina : 90.32% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 6 :           온 세마치 - targetSpeed(m/s) : 20.57 / defaultTarget(m/s) : 19.78 / spurtTarget(m/s) : 22.13 / currPosition : <172.21, 4.00> / Stamina : 89.64% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 22.02 / defaultTarget(m/s) : 19.84 / spurtTarget(m/s) : 22.09 / currPosition : <172.15, 1.80> / Stamina : 92.20% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :         트윈 페르소나 - targetSpeed(m/s) : 19.64 / defaultTarget(m/s) : 19.64 / spurtTarget(m/s) : 21.98 / currPosition : <172.07, 0.45> / Stamina : 93.72% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
