◎Turn 20
 1 :         데네브 네오스 - targetSpeed(m/s) : 18.25 / defaultTarget(m/s) : 18.25 / spurtTarget(m/s) : 20.06 / currPosition : <12.29, 1.80> / Stamina : 99.70% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 1 :           페니 레인 - targetSpeed(m/s) : 20.39 / defaultTarget(m/s) : 19.61 / spurtTarget(m/s) : 21.62 / currPosition : <73.16, 1.00> / Stamina : 98.44% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :          시나몬 룰렛 - targetSpeed(m/s) : 19.74 / defaultTarget(m/s) : 18.98 / spurtTarget(m/s) : 20.50 / currPosition : <71.64, 6.00> / Stamina : 98.54% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :         리코리스 블랙 - targetSpeed(m/s) : 19.80 / defaultTarget(m/s) : 19.04 / spurtTarget(m/s) : 20.43 / currPosition : <71.64, 7.00> / Stamina : 98.54% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :         데네브 네오스 - targetSpeed(m/s) : 18.25 / defaultTarget(m/s) : 18.25 / spurtTarget(m/s) : 20.06 / currPosition : <68.75, 1.80> / Stamina : 97.89% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 20.61 / defaultTarget(m/s) : 18.66 / spurtTarget(m/s) : 20.05 / currPosition : <68.70, 5.30> / Stamina : 97.86% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :          래피드 스텝 - targetSpeed(m/s) : 19.10 / defaultTarget(m/s) : 18.61 / spurtTarget(m/s) : 20.05 / currPosition : <68.58, 5.15> / Stamina : 97.88% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 7 :       페트리코어 선샤워 - targetSpeed(m/s) : 18.35 / defaultTarget(m/s) : 18.35 / spurtTarget(m/s) : 20.32 / currPosition : <67.34, 2.50> / Stamina : 98.03% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :         트윈 페르소나 - targetSpeed(m/s) : 18.26 / defaultTarget(m/s) : 18.26 / spurtTarget(m/s) : 20.13 / currPosition : <66.98, 4.15> / Stamina : 98.05% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :         미티어 더스트 - targetSpeed(m/s) : 19.52 / defaultTarget(m/s) : 18.15 / spurtTarget(m/s) : 19.97 / currPosition : <66.98, 2.10> / Stamina : 98.08% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 19.71 / defaultTarget(m/s) : 17.82 / spurtTarget(m/s) : 19.29 / currPosition : <65.52, 7.15> / Stamina : 98.18% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 100
 1 :           페니 레인 - targetSpeed(m/s) : 20.36 / defaultTarget(m/s) : 19.58 / spurtTarget(m/s) : 21.62 / currPosition : <93.45, 1.00> / Stamina : 97.99% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.84 / defaultTarget(m/s) : 19.07 / spurtTarget(m/s) : 20.43 / currPosition : <91.38, 7.00> / Stamina : 98.11% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.79 / defaultTarget(m/s) : 19.02 / spurtTarget(m/s) : 20.50 / currPosition : <91.36, 6.00> / Stamina : 98.12% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 18.63 / defaultTarget(m/s) : 18.63 / spurtTarget(m/s) : 20.05 / currPosition : <87.41, 4.50> / Stamina : 97.26% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.76 / defaultTarget(m/s) : 18.60 / spurtTarget(m/s) : 20.05 / currPosition : <87.34, 4.85> / Stamina : 97.27% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         데네브 네오스 - targetSpeed(m/s) : 18.16 / defaultTarget(m/s) : 18.16 / spurtTarget(m/s) : 20.06 / currPosition : <86.90, 1.80> / Stamina : 97.35% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :       페트리코어 선샤워 - targetSpeed(m/s) : 19.07 / defaultTarget(m/s) : 18.41 / spurtTarget(m/s) : 20.32 / currPosition : <85.69, 1.75> / Stamina : 97.47% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :         트윈 페르소나 - targetSpeed(m/s) : 19.55 / defaultTarget(m/s) : 18.21 / spurtTarget(m/s) : 20.13 / currPosition : <85.16, 3.20> / Stamina : 97.51% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 9 :         미티어 더스트 - targetSpeed(m/s) : 18.12 / defaultTarget(m/s) : 18.12 / spurtTarget(m/s) : 19.97 / currPosition : <85.16, 2.05> / Stamina : 97.55% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 19.77 / defaultTarget(m/s) : 17.90 / spurtTarget(m/s) : 19.29 / currPosition : <83.64, 6.15> / Stamina : 97.64% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 120
 1 :           페니 레인 - targetSpeed(m/s) : 20.37 / defaultTarget(m/s) : 19.59 / spurtTarget(m/s) : 21.62 / currPosition : <113.76, 1.00> / Stamina : 97.53% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.78 / defaultTarget(m/s) : 19.02 / spurtTarget(m/s) : 20.43 / currPosition : <111.10, 7.00> / Stamina : 97.69% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.83 / defaultTarget(m/s) : 19.07 / spurtTarget(m/s) : 20.50 / currPosition : <111.10, 6.00> / Stamina : 97.69% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 18.56 / defaultTarget(m/s) : 18.56 / spurtTarget(m/s) : 20.05 / currPosition : <105.98, 4.50> / Stamina : 96.68% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.49 / defaultTarget(m/s) : 18.61 / spurtTarget(m/s) : 20.05 / currPosition : <105.97, 3.85> / Stamina : 96.67% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         데네브 네오스 - targetSpeed(m/s) : 18.24 / defaultTarget(m/s) : 18.24 / spurtTarget(m/s) : 20.06 / currPosition : <105.05, 1.80> / Stamina : 96.81% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :       페트리코어 선샤워 - targetSpeed(m/s) : 19.05 / defaultTarget(m/s) : 18.36 / spurtTarget(m/s) : 20.32 / currPosition : <104.20, 0.75> / Stamina : 96.89% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 8 :         트윈 페르소나 - targetSpeed(m/s) : 18.27 / defaultTarget(m/s) : 18.27 / spurtTarget(m/s) : 20.13 / currPosition : <103.34, 3.20> / Stamina : 96.96% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :         미티어 더스트 - targetSpeed(m/s) : 18.47 / defaultTarget(m/s) : 18.17 / spurtTarget(m/s) : 19.97 / currPosition : <103.34, 1.05> / Stamina : 97.01% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 19.58 / defaultTarget(m/s) : 17.92 / spurtTarget(m/s) : 19.29 / currPosition : <101.78, 5.15> / Stamina : 97.10% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 140
 1 :           페니 레인 - targetSpeed(m/s) : 20.42 / defaultTarget(m/s) : 19.63 / spurtTarget(m/s) : 21.62 / currPosition : <134.06, 1.00> / Stamina : 97.07% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.77 / defaultTarget(m/s) : 19.01 / spurtTarget(m/s) : 20.43 / currPosition : <130.86, 7.00> / Stamina : 97.27% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.81 / defaultTarget(m/s) : 19.05 / spurtTarget(m/s) : 20.50 / currPosition : <130.83, 6.00> / Stamina : 97.27% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 18.57 / defaultTarget(m/s) : 18.57 / spurtTarget(m/s) : 20.05 / currPosition : <124.56, 3.80> / Stamina : 96.08% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :          래피드 스텝 - targetSpeed(m/s) : 19.97 / defaultTarget(m/s) : 18.57 / spurtTarget(m/s) : 20.05 / currPosition : <124.52, 3.55> / Stamina : 96.09% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :         데네브 네오스 - targetSpeed(m/s) : 18.26 / defaultTarget(m/s) : 18.26 / spurtTarget(m/s) : 20.06 / currPosition : <123.20, 1.80> / Stamina : 96.27% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :       페트리코어 선샤워 - targetSpeed(m/s) : 19.34 / defaultTarget(m/s) : 18.41 / spurtTarget(m/s) : 20.32 / currPosition : <122.86, 0.45> / Stamina : 96.47% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
 8 :         트윈 페르소나 - targetSpeed(m/s) : 18.25 / defaultTarget(m/s) : 18.25 / spurtTarget(m/s) : 20.13 / currPosition : <121.50, 2.75> / Stamina : 96.42% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 9 :         미티어 더스트 - targetSpeed(m/s) : 19.52 / defaultTarget(m/s) : 18.21 / spurtTarget(m/s) : 19.97 / currPosition : <121.47, 0.50> / Stamina : 96.48% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 18.79 / defaultTarget(m/s) : 17.92 / spurtTarget(m/s) : 19.29 / currPosition : <119.96, 4.15> / Stamina : 96.55% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 160
 1 :           페니 레인 - targetSpeed(m/s) : 20.31 / defaultTarget(m/s) : 19.53 / spurtTarget(m/s) : 21.62 / currPosition : <154.39, 1.00> / Stamina : 96.61% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.73 / defaultTarget(m/s) : 18.98 / spurtTarget(m/s) : 20.43 / currPosition : <150.59, 7.00> / Stamina : 96.84% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.74 / defaultTarget(m/s) : 18.98 / spurtTarget(m/s) : 20.50 / currPosition : <150.59, 6.00> / Stamina : 96.84% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 18.57 / defaultTarget(m/s) : 18.57 / spurtTarget(m/s) : 20.05 / currPosition : <143.13, 3.10> / Stamina : 95.50% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 20.58 / defaultTarget(m/s) : 18.62 / spurtTarget(m/s) : 20.05 / currPosition : <143.11, 3.25> / Stamina : 95.50% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :       페트리코어 선샤워 - targetSpeed(m/s) : 18.41 / defaultTarget(m/s) : 18.41 / spurtTarget(m/s) : 20.32 / currPosition : <141.55, 0.45> / Stamina : 96.01% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 18.18 / defaultTarget(m/s) : 18.18 / spurtTarget(m/s) : 20.06 / currPosition : <141.35, 1.80> / Stamina : 95.73% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :         미티어 더스트 - targetSpeed(m/s) : 19.07 / defaultTarget(m/s) : 18.17 / spurtTarget(m/s) : 19.97 / currPosition : <139.73, 0.45> / Stamina : 96.14% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
 9 :         트윈 페르소나 - targetSpeed(m/s) : 18.70 / defaultTarget(m/s) : 18.24 / spurtTarget(m/s) : 20.13 / currPosition : <139.70, 2.30> / Stamina : 95.87% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 19.52 / defaultTarget(m/s) : 17.86 / spurtTarget(m/s) : 19.29 / currPosition : <138.10, 3.15> / Stamina : 96.00% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 180
 1 :           페니 레인 - targetSpeed(m/s) : 20.39 / defaultTarget(m/s) : 19.61 / spurtTarget(m/s) : 21.62 / currPosition : <174.68, 1.00> / Stamina : 96.15% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.75 / defaultTarget(m/s) : 18.99 / spurtTarget(m/s) : 20.43 / currPosition : <170.31, 7.00> / Stamina : 96.42% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.86 / defaultTarget(m/s) : 19.09 / spurtTarget(m/s) : 20.50 / currPosition : <170.30, 6.00> / Stamina : 96.42% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 18.57 / defaultTarget(m/s) : 18.57 / spurtTarget(m/s) : 20.05 / currPosition : <161.69, 2.95> / Stamina : 94.91% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :          래피드 스텝 - targetSpeed(m/s) : 19.61 / defaultTarget(m/s) : 18.63 / spurtTarget(m/s) : 20.05 / currPosition : <161.67, 2.40> / Stamina : 94.92% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :       페트리코어 선샤워 - targetSpeed(m/s) : 18.37 / defaultTarget(m/s) : 18.37 / spurtTarget(m/s) : 20.32 / currPosition : <159.89, 0.45> / Stamina : 95.45% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 18.18 / defaultTarget(m/s) : 18.18 / spurtTarget(m/s) : 20.06 / currPosition : <159.52, 1.80> / Stamina : 95.19% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :         미티어 더스트 - targetSpeed(m/s) : 19.05 / defaultTarget(m/s) : 18.14 / spurtTarget(m/s) : 19.97 / currPosition : <158.17, 0.45> / Stamina : 95.81% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
 9 :         트윈 페르소나 - targetSpeed(m/s) : 19.60 / defaultTarget(m/s) : 18.20 / spurtTarget(m/s) : 20.13 / currPosition : <158.04, 1.30> / Stamina : 95.31% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 18.76 / defaultTarget(m/s) : 17.89 / spurtTarget(m/s) : 19.29 / currPosition : <156.28, 2.15> / Stamina : 95.45% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 200
 1 :           페니 레인 - targetSpeed(m/s) : 20.41 / defaultTarget(m/s) : 19.62 / spurtTarget(m/s) : 21.62 / currPosition : <194.97, 1.00> / Stamina : 95.69% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.82 / defaultTarget(m/s) : 19.06 / spurtTarget(m/s) : 20.43 / currPosition : <190.05, 7.00> / Stamina : 96.00% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.74 / defaultTarget(m/s) : 18.98 / spurtTarget(m/s) : 20.50 / currPosition : <190.04, 6.00> / Stamina : 96.00% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :          래피드 스텝 - targetSpeed(m/s) : 18.68 / defaultTarget(m/s) : 18.68 / spurtTarget(m/s) : 20.05 / currPosition : <180.24, 1.95> / Stamina : 94.33% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 5 :        넘버 리프라이즈 - targetSpeed(m/s) : 19.92 / defaultTarget(m/s) : 18.66 / spurtTarget(m/s) : 20.05 / currPosition : <180.22, 2.40> / Stamina : 94.33% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False
 6 :       페트리코어 선샤워 - targetSpeed(m/s) : 18.33 / defaultTarget(m/s) : 18.33 / spurtTarget(m/s) : 20.32 / currPosition : <178.21, 0.45> / Stamina : 94.90% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 7 :         데네브 네오스 - targetSpeed(m/s) : 18.16 / defaultTarget(m/s) : 18.16 / spurtTarget(m/s) : 20.06 / currPosition : <177.67, 1.80> / Stamina : 94.66% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
 8 :         미티어 더스트 - targetSpeed(m/s) : 19.04 / defaultTarget(m/s) : 18.13 / spurtTarget(m/s) : 19.97 / currPosition : <176.76, 0.45> / Stamina : 95.46% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
 9 :         트윈 페르소나 - targetSpeed(m/s) : 19.08 / defaultTarget(m/s) : 18.17 / spurtTarget(m/s) : 20.13 / currPosition : <176.53, 0.50> / Stamina : 94.78% / Phase : First / PositionKeep : Overtaking / ForceInMove : non / isSpurt : False
10 :         위키드 웨스트 - targetSpeed(m/s) : 18.13 / defaultTarget(m/s) : 17.89 / spurtTarget(m/s) : 19.29 / currPosition : <174.51, 1.15> / Stamina : 94.90% / Phase : First / PositionKeep : non / ForceInMove : InsideOvertaking / isSpurt : False

◎Turn 220
 1 :           페니 레인 - targetSpeed(m/s) : 20.39 / defaultTarget(m/s) : 19.60 / spurtTarget(m/s) : 21.62 / currPosition : <215.25, 1.00> / Stamina : 95.23% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 2 :         리코리스 블랙 - targetSpeed(m/s) : 19.82 / defaultTarget(m/s) : 19.06 / spurtTarget(m/s) : 20.43 / currPosition : <209.78, 7.00> / Stamina : 95.57% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 3 :          시나몬 룰렛 - targetSpeed(m/s) : 19.78 / defaultTarget(m/s) : 19.02 / spurtTarget(m/s) : 20.50 / currPosition : <209.77, 6.00> / Stamina : 95.57% / Phase : First / PositionKeep : SpeedUp / ForceInMove : non / isSpurt : False
 4 :        넘버 리프라이즈 - targetSpeed(m/s) : 18.60 / defaultTarget(m/s) : 18.60 / spurtTarget(m/s) : 20.05 / currPosition : <198.80, 2.00> / Stamina : 93.74% / Phase : First / PositionKeep : non / ForceInMove : non / isSpurt : False
